# dataset: 演示火山 A（固定 fixture）
# crs: EPSG:32654 -> ENU local
# transform: ENU-LOCAL-v1
# origin_lat: 35.4
# origin_lon: 138.7
# note: Mogi 真值 dV=2.5e7 m3, depth=6.5 km；西南象限缺测；含分组共同模式误差
# groups
# group,label,type,epoch,sigma_cme_m
G-E1,GNSS 第一时段 2024-05,gnss,2024-05,0.006
G-E2,GNSS 第二时段 2024-07,gnss,2024-07,0.005
T-A84,InSAR 升轨 A84,insar,2024-05~07,0.012
T-D35,InSAR 降轨 D35,insar,2024-05~07,0.01
# observations
# id,site,type,x_km,y_km,value_m,sigma_white_m,group,epoch,los_e,los_n,los_u,region
S01-E1-e,S01,gnss_e,3.4000000000000004,-0.3,0.03947030494879239,0.003,G-E1,2024-05,,,,near
S01-E1-n,S01,gnss_n,3.4000000000000004,-0.3,-0.007577909478641837,0.003,G-E1,2024-05,,,,near
S01-E1-u,S01,gnss_u,3.4000000000000004,-0.3,0.09774955057847386,0.003,G-E1,2024-05,,,,near
S02-E1-e,S02,gnss_e,1.8000000000000005,2.471281292110204,0.013371736403000063,0.003,G-E1,2024-05,,,,near
S02-E1-n,S02,gnss_n,1.8000000000000005,2.471281292110204,0.03982970128136146,0.003,G-E1,2024-05,,,,near
S02-E1-u,S02,gnss_u,1.8000000000000005,2.471281292110204,0.09209917385715356,0.003,G-E1,2024-05,,,,near
S02-E2-e,S02,gnss_e,1.8000000000000005,2.471281292110204,0.0170807110943583,0.003,G-E2,2024-07,,,,near
S02-E2-n,S02,gnss_n,1.8000000000000005,2.471281292110204,0.0415835339723708,0.003,G-E2,2024-07,,,,near
S02-E2-u,S02,gnss_u,1.8000000000000005,2.471281292110204,0.10071346073950246,0.003,G-E2,2024-07,,,,near
S03-E1-e,S03,gnss_e,-1.3999999999999995,2.4712812921102048,-0.03470603386411464,0.003,G-E1,2024-05,,,,near
S03-E1-n,S03,gnss_n,-1.3999999999999995,2.4712812921102048,0.04058834808284763,0.003,G-E1,2024-05,,,,near
S03-E1-u,S03,gnss_u,-1.3999999999999995,2.4712812921102048,0.09595491395944611,0.003,G-E1,2024-05,,,,near
S03-E2-e,S03,gnss_e,-1.3999999999999995,2.4712812921102048,-0.03474146713436504,0.003,G-E2,2024-07,,,,near
S03-E2-n,S03,gnss_n,-1.3999999999999995,2.4712812921102048,0.04857169465751538,0.003,G-E2,2024-07,,,,near
S03-E2-u,S03,gnss_u,-1.3999999999999995,2.4712812921102048,0.10367196721458509,0.003,G-E2,2024-07,,,,near
S04-E1-e,S04,gnss_e,-3.0,-0.2999999999999996,-0.05940680180194734,0.003,G-E1,2024-05,,,,near
S04-E1-n,S04,gnss_n,-3.0,-0.2999999999999996,-0.007875744349472632,0.003,G-E1,2024-05,,,,near
S04-E1-u,S04,gnss_u,-3.0,-0.2999999999999996,0.09276485888162089,0.003,G-E1,2024-05,,,,near
S05-E1-e,S05,gnss_e,1.8000000000000005,-3.0712812921102035,0.014448435000018196,0.003,G-E1,2024-05,,,,near
S05-E1-n,S05,gnss_n,1.8000000000000005,-3.0712812921102035,-0.051508871071072396,0.003,G-E1,2024-05,,,,near
S05-E1-u,S05,gnss_u,1.8000000000000005,-3.0712812921102035,0.08886273113423734,0.003,G-E1,2024-05,,,,near
S05-E2-e,S05,gnss_e,1.8000000000000005,-3.0712812921102035,0.031148234070893167,0.003,G-E2,2024-07,,,,near
S05-E2-n,S05,gnss_n,1.8000000000000005,-3.0712812921102035,-0.04824264769964383,0.003,G-E2,2024-07,,,,near
S05-E2-u,S05,gnss_u,1.8000000000000005,-3.0712812921102035,0.10350807250402558,0.003,G-E2,2024-07,,,,near
S06-E1-e,S06,gnss_e,6.211985362223225,1.8945459677148888,0.04225392970965125,0.003,G-E1,2024-05,,,,far
S06-E1-n,S06,gnss_n,6.211985362223225,1.8945459677148888,0.010143771859784743,0.003,G-E1,2024-05,,,,far
S06-E1-u,S06,gnss_u,6.211985362223225,1.8945459677148888,0.04358157988764977,0.003,G-E1,2024-05,,,,far
S06-E2-e,S06,gnss_e,6.211985362223225,1.8945459677148888,0.048109318772439257,0.003,G-E2,2024-07,,,,far
S06-E2-n,S06,gnss_n,6.211985362223225,1.8945459677148888,0.015120898947229783,0.003,G-E2,2024-07,,,,far
